"filename", "language", "XML", "Java", "comment", "blank", "total"
"d:\code\JavaProject1\.idea\codeStyles\codeStyleConfig.xml", "XML", 5, 0, 0, 0, 5
"d:\code\JavaProject1\.idea\cody_history.xml", "XML", 33, 0, 0, 0, 33
"d:\code\JavaProject1\.idea\encodings.xml", "XML", 7, 0, 0, 0, 7
"d:\code\JavaProject1\.idea\git_toolbox_blame.xml", "XML", 6, 0, 0, 0, 6
"d:\code\JavaProject1\.idea\material_theme_project_new.xml", "XML", 12, 0, 0, 0, 12
"d:\code\JavaProject1\.idea\misc.xml", "XML", 14, 0, 0, 0, 14
"d:\code\JavaProject1\.idea\uiDesigner.xml", "XML", 124, 0, 0, 0, 124
"d:\code\JavaProject1\.idea\vcs.xml", "XML", 6, 0, 0, 0, 6
"d:\code\JavaProject1\pom.xml", "XML", 14, 0, 0, 3, 17
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Controller\ClassController.java", "Java", 0, 144, 23, 17, 184
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Controller\CourseController.java", "Java", 0, 119, 20, 14, 153
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Controller\StudentController.java", "Java", 0, 61, 12, 10, 83
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Controller\TeacherController.java", "Java", 0, 56, 11, 7, 74
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Main.java", "Java", 0, 14, 2, 4, 20
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Repository\BasicDB.java", "Java", 0, 151, 9, 24, 184
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Repository\ClassRepository.java", "Java", 0, 54, 1, 8, 63
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Repository\CourseRepository.java", "Java", 0, 54, 1, 8, 63
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Repository\GradeRepository.java", "Java", 0, 27, 1, 5, 33
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Repository\StudentRepository.java", "Java", 0, 81, 1, 9, 91
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\Repository\TeacherRepository.java", "Java", 0, 73, 1, 14, 88
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\model\Class.java", "Java", 0, 63, 2, 22, 87
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\model\Course.java", "Java", 0, 47, 2, 15, 64
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\model\Grade.java", "Java", 0, 78, 2, 22, 102
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\model\Student.java", "Java", 0, 56, 2, 18, 76
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\model\Teacher.java", "Java", 0, 31, 2, 10, 43
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\service\DataGenerationService.java", "Java", 0, 4, 0, 2, 6
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\service\SortedService.java", "Java", 0, 9, 0, 4, 13
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\service\impl\DataGenerationServiceImpl.java", "Java", 0, 43, 6, 12, 61
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\service\impl\SortedServiceImpl.java", "Java", 0, 47, 4, 10, 61
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\service\impl\StudentManagementService.java", "Java", 0, 53, 0, 15, 68
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\service\impl\TeacherManageService.java", "Java", 0, 13, 0, 8, 21
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\util\Constant.java", "Java", 0, 3, 0, 2, 5
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\util\PrintFormatter.java", "Java", 0, 301, 60, 27, 388
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\util\RandomDataGenerator.java", "Java", 0, 161, 46, 22, 229
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\util\SimpleContainer.java", "Java", 0, 45, 0, 5, 50
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\util\SimpleInject.java", "Java", 0, 9, 0, 4, 13
"d:\code\JavaProject1\src\main\java\io\jiyue333\StuManage\util\SimpleSingleton.java", "Java", 0, 9, 0, 5, 14
"Total", "-", 221, 1806, 208, 326, 2561
